match_id,my_team,team1_gold,team2_gold,gold_diff,gold_leading_team,my_team_ahead_gold,team1_kills,team2_kills,kill_diff,kill_leading_team,my_team_ahead_kills,tower_fb,drake_fb,herald_fb,my_team_win,winner
LA1_1719600829,100,19252,20005,-753,200,False,9,12,-3,200,False,200.0,100.0,100,False,200
LA1_1719855292,200,16503,17998,1495,200,True,5,7,2,200,False,100.0,200.0,200.0,True,200
LA1_1719784667,200,15221,16752,1531,200,True,2,8,6,200,False,,200.0,,True,200
LA1_1719819700,100,18487,17236,1251,100,True,10,7,3,100,True,200.0,200.0,100.0,True,100
LA1_1719842476,100,17586,19141,-1555,200,False,9,10,-1,200,False,100.0,100.0,100.0,False,200
LA1_1719900996,200,17326,17087,-239,100,False,4,7,3,200,False,100.0,200.0,100.0,True,200
LA1_1719661420,200,18435,16011,-2424,100,False,7,4,-3,100,True,100.0,200.0,300,False,100
LA1_1719517334,200,19393,15853,-3540,100,False,10,1,-9,100,True,200.0,100.0,100,False,100
LA1_1719425599,100,17722,16005,1717,100,True,7,2,5,100,True,200.0,100.0,100,True,100
LA1_1719452930,200,17513,17589,76,200,True,7,9,2,200,False,200.0,200.0,100,False,100
LA1_1719446227,200,15356,17775,2419,200,True,3,8,5,200,False,200.0,200.0,200,True,200
LA1_1719676281,200,19741,17413,-2328,100,False,10,7,-3,100,True,200.0,100.0,300,False,100
LA1_1719462365,200,15962,16743,781,200,True,4,6,2,200,False,100.0,200.0,200,True,200
LA1_1719893318,200,17246,18908,1662,200,True,7,11,4,200,False,100.0,200.0,100,True,200
LA1_1719682357,100,17554,20561,-3007,200,False,8,11,-3,200,False,100.0,100.0,100,True,100
LA1_1719692798,200,17298,15626,-1672,100,False,4,1,-3,100,True,200.0,100.0,100,False,100
LA1_1719702569,100,17801,17553,248,100,True,5,7,-2,200,False,200.0,100.0,100,True,100
LA1_1719095627,200,16704,16510,-194,100,False,2,2,0,0,False,200.0,100.0,100,False,100
LA1_1719349235,100,20255,15954,4301,100,True,11,3,8,100,True,200.0,100.0,100,False,200
LA1_1719919276,200,16602,19758,3156,200,True,6,11,5,200,False,100.0,200.0,200,True,200
LA1_1719941753,200,17803,17586,-217,100,False,7,8,1,200,False,100.0,100.0,200,True,200
LA1_1719903592,100,17631,15874,1757,100,True,5,2,3,100,True,200.0,100.0,100,True,100
LA1_1719858276,200,18171,17770,-401,100,False,8,7,-1,100,True,200.0,100.0,200,True,200
LA1_1719872241,200,17185,19380,2195,200,True,5,8,3,200,False,100.0,100.0,200,False,100
LA1_1719946255,200,17840,18350,510,200,True,6,6,0,0,False,100.0,100.0,100,True,200
LA1_1719926636,100,17144,16831,313,100,True,5,5,0,0,False,200.0,200.0,300,True,100
LA1_1719917677,200,17037,16846,-191,100,False,5,4,-1,100,True,200.0,200.0,100,False,100
LA1_1719947308,100,19766,17289,2477,100,True,12,5,7,100,True,200.0,200.0,100,True,100
LA1_1719951361,100,16483,17828,-1345,200,False,4,7,-3,200,False,200.0,100.0,100,True,100
LA1_1719932536,200,18233,20389,2156,200,True,7,12,5,200,False,100.0,200.0,200,True,200
LA1_1719953926,100,18957,17242,1715,100,True,8,3,5,100,True,100.0,200.0,100,True,100
LA1_1719925201,200,18134,18071,-63,100,False,7,10,3,200,False,200.0,200.0,200,True,200
LA1_1719826300,200,17645,18516,871,200,True,7,7,0,0,False,200.0,200.0,100,True,200
LA1_1719933769,200,19412,18653,-759,100,False,11,9,-2,100,True,100.0,200.0,100,True,200
LA1_1719741387,100,17157,17987,-830,200,False,5,6,-1,200,False,100.0,200.0,200,True,100
LA1_1719208264,100,19131,16615,2516,100,True,11,4,7,100,True,100.0,100.0,200,True,100
LA1_1719212853,200,18152,17056,-1096,100,False,6,5,-1,100,True,100.0,100.0,100,True,200
LA1_1719289268,200,16304,18594,2290,200,True,2,6,4,200,False,200.0,200.0,100,True,200
LA1_1719325746,200,17527,18489,962,200,True,8,7,-1,100,True,100.0,200.0,200,True,200
LA1_1719426675,100,17757,16930,827,100,True,6,6,0,0,False,200.0,200.0,100,True,100
