gold_diff,kill_diff,my_team_tower_fb,my_team_drake_fb,my_team_herald_fb,my_team_win
-356,-1,0,1,0,True
1195,0,0,1,0,True
238,-1,0,1,0,False
-241,2,1,0,1,True
2977,6,0,1,0,True
-3692,-5,1,0,0,False
1338,1,0,1,0,True
-3807,-9,1,0,0,False
940,2,0,0,1,True
-1662,-1,1,0,1,True
1006,1,1,1,0,False
2051,6,0,0,0,False
-146,-2,1,0,0,True
399,3,1,1,1,False
5123,13,0,1,1,True
2788,3,0,1,1,True
-525,-2,0,1,1,True
-2711,-7,1,0,0,False
1574,1,0,0,1,True
-1001,-3,1,0,0,False
-2868,-6,1,0,0,False
-1303,-2,1,1,0,False
1486,3,0,0,0,True
-4054,-9,1,1,0,True
-119,1,1,1,0,False
-1563,-3,0,0,0,False
2254,3,0,0,0,False
-920,-2,1,1,1,False
-168,2,0,0,0,False
677,1,0,0,1,True
465,0,0,1,1,True
-470,-1,0,0,0,True
1451,0,0,1,1,True
-1350,-4,0,0,0,True
458,3,1,0,0,False
536,3,0,1,1,True
-1395,-2,1,0,0,False
-1191,0,1,0,0,True
3397,6,0,1,1,True
-1367,-3,1,0,0,False
-77,1,1,1,1,True
584,0,0,0,1,True
1669,-1,1,1,1,True
-2252,-4,1,0,0,True
1416,4,1,1,0,False
538,2,1,1,0,True
1365,3,1,0,1,True
1111,3,0,1,1,True
3308,4,0,1,1,True
284,0,1,0,0,False
-2777,-7,1,1,0,False
3995,5,0,1,1,True
-111,-1,0,0,1,True
1775,3,0,1,0,False
2538,8,0,1,1,True
3416,6,0,1,0,True
1691,4,0,1,1,True
-1037,-3,0,1,1,True
2309,5,1,1,0,False
1616,0,0,0,1,True
-140,0,1,1,0,True
-1166,1,0,0,0,True
-800,-4,0,0,0,True
1859,3,0,1,1,True
733,-3,0,1,1,False
470,2,1,1,1,False
3614,8,0,1,1,True
1251,2,1,0,1,False
-3613,-5,1,0,0,False
-557,0,1,0,0,True
-2182,-5,1,0,0,False
-1038,-4,1,0,0,False
1381,1,0,0,0,True
1338,3,0,0,0,False
1588,3,0,0,1,True
2151,1,0,0,0,False
-4834,-11,1,0,0,False
-978,-5,1,1,0,False
1552,5,1,1,0,True
2477,6,0,0,1,True
4764,13,0,1,1,True
-74,1,0,1,0,True
1078,2,0,1,0,True
-3759,-6,1,0,0,False
-442,-1,0,0,0,True
3187,3,0,1,1,False
1415,3,1,0,0,True
4479,8,0,1,0,True
2161,2,0,0,1,True
-1078,-2,0,0,0,False
5661,8,0,1,0,True
-2383,-2,1,1,1,True
897,2,1,0,0,False
-608,0,0,0,1,True
1596,3,0,0,1,True
-1598,-2,1,0,1,True
1373,6,0,1,1,True
3948,5,0,1,0,True
1324,3,0,1,1,True
1938,6,0,1,1,False
-1524,-4,1,0,0,False
60,-1,0,1,1,True
-1670,-1,1,1,0,False
1475,7,0,0,1,True
5340,10,0,1,1,True
-1598,-4,1,0,1,True
-1710,-3,1,0,1,False
817,2,0,0,1,True
2065,4,0,0,1,True
178,-3,0,0,1,True
-871,0,1,1,0,True
108,-2,0,0,1,True
3245,8,0,0,1,True
347,2,1,0,1,True
-2218,-5,1,0,0,False
364,0,0,1,0,True
456,2,1,1,0,False
286,2,0,1,1,True
2310,5,0,1,1,True
-2378,-3,1,0,1,True
-2590,-6,1,1,0,False
2290,6,0,1,1,False
580,2,0,0,0,True
787,2,1,1,0,True
-665,-1,1,0,0,True
1258,2,0,0,0,False
1192,6,1,1,0,True
1082,0,0,1,1,True
2576,5,0,1,1,False
-406,-4,0,1,1,True
-1660,-3,1,1,0,False
837,3,1,0,0,True
2349,6,0,1,0,True
-1220,-2,1,0,0,False
-680,-1,1,1,1,False
1229,5,1,1,0,True
-4951,-12,1,1,0,False
-857,-2,1,1,0,False
1918,3,0,0,1,True
-1047,-4,1,0,1,True
-1478,-3,1,0,1,True
-1392,0,0,0,1,True
-79,-1,1,1,0,True
-3614,-6,1,0,0,False
2281,3,0,1,1,True
-1296,-2,1,0,0,False
-757,-3,0,0,0,False
1749,4,0,1,1,False
-1132,-4,0,0,1,True
-561,-4,1,0,1,False
2124,5,0,0,1,False
347,0,0,0,1,True
-2139,-3,0,0,0,False
-408,0,0,0,1,True
-1632,-2,1,1,0,True
1597,3,1,1,1,False
-1696,-1,1,0,0,False
1407,4,0,1,1,True
354,2,0,0,1,False
-1294,-5,1,0,0,False
2186,4,1,1,1,True
3506,11,0,1,1,True
-2281,-3,1,0,0,False
-899,-1,0,1,1,False
-53,1,0,0,0,True
-3016,-4,1,0,0,False
-2857,-4,1,0,0,True
754,0,0,1,1,True
2668,7,0,1,0,True
-604,-1,1,1,1,True
2240,5,1,0,0,False
3254,4,0,0,1,True
-2096,0,1,0,0,False
-2713,-4,1,0,0,False
483,0,0,0,0,True
2291,5,0,1,1,True
-2397,-2,1,0,0,False
3075,8,0,1,0,False
-45,-1,0,0,1,False
-1671,-4,1,1,1,False
-71,1,1,1,0,False
-800,0,1,1,0,True
-849,-3,1,0,0,True
2229,6,0,1,0,True
-462,0,0,1,0,True
2086,9,1,1,0,True
4174,5,0,1,1,True
1067,3,1,1,1,True
2077,5,0,0,0,True
-2442,-5,1,0,1,False
-2293,-5,1,0,0,False
3335,6,0,1,1,True
3900,8,0,1,1,True
1285,1,0,1,1,True
1997,4,0,0,1,True
-6068,-5,1,0,0,False
-3886,-11,1,0,0,False
-302,-4,0,1,1,True
1335,1,0,0,0,True
-2154,-6,1,1,0,True
1465,3,1,0,0,True
-3816,-7,1,0,0,False
2052,7,0,0,1,False
108,0,0,1,0,False
-1123,-1,1,1,0,True
-1450,-2,1,0,0,False
-257,-1,0,0,0,True
1159,5,0,1,1,True
-570,-4,1,0,0,False
187,0,1,0,1,True
-776,-4,0,0,1,False
-4180,-9,1,1,0,False
2036,6,1,1,1,False
1340,2,1,1,1,False
1788,2,0,1,1,True
30,0,0,0,1,True
1490,6,0,1,1,True
73,3,1,0,0,False
-1554,-2,0,1,1,True
-1740,-3,1,0,0,False
-1128,-3,0,1,0,True
2318,4,0,0,1,True
-30,3,1,0,0,True
-467,-4,1,0,0,True
-1250,2,1,0,0,False
-1383,-2,1,0,0,True
3215,8,0,1,1,True
-778,-1,1,0,1,False
450,-1,0,0,1,True
898,3,0,1,1,True
5709,11,0,1,0,True
-6822,-13,1,0,0,False
-314,1,0,0,0,False
-3975,-7,1,0,0,False
-148,0,1,0,0,False
3099,7,0,1,1,True
-3054,-3,1,0,0,False
3017,6,0,1,1,True
106,3,1,1,0,False
-87,-1,1,0,0,False
1870,3,0,0,1,True
-35,0,0,0,0,True
1347,4,0,1,1,False
1272,4,1,1,0,True
4628,11,0,0,1,True
1589,6,1,1,1,True
-1116,-1,1,0,0,False
-467,-1,0,1,0,False
-749,-3,0,0,0,True
-4972,-9,1,0,0,False
-2789,-6,0,0,1,True
857,-2,0,0,0,True
366,0,0,0,0,False
77,-1,1,1,0,True
-6117,-10,1,0,0,False
-810,-3,1,1,0,False
3326,4,0,1,1,True
-749,-1,1,1,0,True
3007,6,0,0,1,True
-518,2,0,0,1,True
163,2,1,0,0,False
136,0,1,0,1,True
-2407,-3,1,0,0,False
1648,2,0,1,1,True
5029,7,0,1,0,True
565,-1,0,1,1,True
275,1,0,1,0,True
1390,2,1,0,0,False
812,1,0,1,1,True
714,-1,0,1,1,False
-174,1,0,1,1,True
-2825,-7,1,0,0,False
-2225,-3,1,0,0,False
517,0,1,0,0,True
2075,6,0,1,1,True
732,2,0,1,1,True
-4368,-9,1,0,0,False
-2593,-3,1,0,0,False
-1924,-3,1,1,0,True
1217,6,1,0,0,False
1611,5,0,1,1,True
710,4,0,1,1,True
408,-2,0,0,1,True
86,0,1,0,0,False
551,0,0,0,1,True
2762,7,0,1,1,True
3775,6,0,1,1,True
-480,1,0,1,1,True
2351,5,0,1,1,True
3974,5,0,1,1,True
-1866,-4,0,1,0,False
1383,4,0,1,1,True
2484,3,0,1,1,True
64,1,1,1,1,True
4365,9,0,1,1,True
266,-1,0,0,0,False
792,0,0,0,0,False
813,1,0,1,1,True
2214,5,0,1,0,True
-1456,-4,1,0,1,True
273,0,1,0,0,True
-1182,-1,1,1,0,False
-1011,-1,0,0,0,True
246,2,1,1,0,True
-2292,-5,1,0,1,False
521,2,0,1,1,True
1231,2,0,0,1,True
-108,0,0,1,1,True
-1224,-1,0,1,0,False
69,1,1,0,0,True
2575,8,0,0,1,False
-615,1,0,0,0,True
-696,0,1,0,0,False
85,-1,1,0,1,True
